reference_number,watch_URL,type,brand,year_introduced,parent_model,specific_model,nickname,marketing_name,style,currency,price,image_URL,made_in,case_shape,case_material,case_finish,caseback,diameter,between_lugs,lug_to_lug,case_thickness,bezel_material,bezel_color,crystal,water_resistance,weight,dial_color,numerals,bracelet_material,bracelet_color,clasp_type,movement,caliber,power_reserve,frequency,jewels,features,description,short_description
LCF004.R5.VR1,https://laurentferrier.ch/collections/classic/products/classic-micro-rotor-evergreen, ,Laurent Ferrier, ,Classic,Classic Micro-Rotor,Evergreen, , ,CHF,"65,000",https://laurentferrier.ch/cdn/shop/files/Laurent-Ferrier_Classic-Micro-Rotor_Evergreen_Watch_LCF004.R5.VR1_Front-Soldat_TinifTEMP_noswiss_800x.png?v=1698730740,Switzerland, , 18k red gold 5N, , , 40 mm, , , 11.10 mm , , , , 30 m - 3 ATM, ," Deep green, vertical satin-brush finish","Drop-shaped, 18k red gold 5N"," Brown calf leather, Alcantara lining"," Brown calf leather, Alcantara lining",Pin buckle or folding clasp in 18k red gold 5N ,. Calibre FBN229.01. Automatic winding movement with pawl-fitted micro-rotor. Micro-rotor winding system fixed between the main plate and the micro-rotor bridge. Silicon escapement with double direct impulse on the balance. Silent block shock protection system for the micro-rotor,Calibre FBN229.01, 72 hours,"21,600 vph (3Hz)",35,"Hours, minutes & small seconds at 6 o’clock","The term ‘Evergreen’ combines timeless character with the associations of the colour green: a shade deeply connected with nature, growth and renewal. Embodying these principles, the latest interpretations of the Micro-Rotor evoke this enduring elegance. The curve of the solid red gold case reflects the pure, restrained LAURENT FERRIER style. It echoes the smooth pebble shape of the understated and sophisticated models of 19th century horological history, and particularly that of pocket watches.
", 
LCF036.T1.G1G,https://laurentferrier.ch/collections/classic/products/classic-origin-white, ,Laurent Ferrier, ,Classic,Classic Origin,White, , ,CHF,"33,000",https://laurentferrier.ch/cdn/shop/files/Laurent-Ferrier_Classic-Origin-Opaline-White_Watch_LCF036.TI.G1G_Front-Soldat_Product-BigTEMP_800x.png?v=1686640432,Switzerland, , Grade 5 titanium , , , 40 mm, , , 11.10 mm , , , , 30 m - 3 ATM, ,Silvery-white opaline dial,"Four drop-shaped, 18k white gold 210Pd Hour markers: Slate grey painted minute track and burgundy-coloured numerals"," Light brown Alcantara, Alcantara lining"," Light brown Alcantara, Alcantara lining",Pin buckle in grade 5 titanium,. Caliber LF116.01. Manual winding . Swiss lever escapement. Balance screw,Caliber LF116.01, 80 hours ,"21,600 vph (3Hz) ",21,"Hours, minutes, small seconds at 6 o’clock","The Classic Origin, is designed for those individuals who value understated and virtue. Created to mark the 10th anniversary of the company, this latest model is housed in a 40mm Classic case and encompasses the same smooth curving lines as the inaugural model. However, in this instance, the case is formed of Grade 5 titanium, imbuing the watch with a youthful temperament.
", 
LCF036.T1.VG,https://laurentferrier.ch/collections/classic/products/classic-origin-green, ,Laurent Ferrier, ,Classic,Classic Origin,Green, , ,CHF,"31,000",https://laurentferrier.ch/cdn/shop/files/Laurent-Ferrier_Classic-Origin-Atelier-Edition-Opaline-Green_Watch_LCF036.TI.VG_Front-Soldat_Product-BigTEMP_800x.png?v=1686641432,Switzerland, , Grade 5 titanium, , , 40 mm, , , 11.10 mm, , , , 30 m - 3 ATM, ,Green gradient opaline dial ,"Drop-shaped, 18k white gold 210Pd Hours markers: Slate grey painted, yellow numerals "," Brown calf leather, Alcantara lining"," Brown calf leather, Alcantara lining",Pin buckle in grade 5 titanium,. Caliber LF116.01. Manual winding. Swiss lever escapement. Balance screw,Caliber LF116.01, 80 hours ,"21,600 vph (3Hz) ",21,"Hours, minutes, small seconds at 6 o’clock","This “Série Atelier” limited edition of our Classic Origin features a luscious, gradient opaline dial that transitions from a translucent moss green at its center to a rich, forest green near its periphery. The dial is adorned with the brand's hallmark, 18-carat white gold Assegai-shaped hour and minute hands.
", 
LCF004.G1.N1G,https://laurentferrier.ch/collections/classic/products/classic-micro-rotor-black, ,Laurent Ferrier, ,Classic,Classic Micro‑Rotor,Black, , ,CHF,"65,000",https://laurentferrier.ch/cdn/shop/products/Laurent-Ferrier_Classic-Micro-Rotor-Opaline-Black-Watch-LCF004.N1.N1G_Front-Soldat_800x.png?v=1643357945,Switzerland, , 18k white gold 210Pd, , ,  40 mm, , , 11.10 mm, , , , 30 m - 3 ATM, ,Black opaline,"Drop-shaped,18k white gold 210Pd"," Honey alligator, Alcantara lining"," Honey alligator, Alcantara lining",Pin buckle or folding clasp in 18K white gold 210Pd,. Calibre FBN229.01. Automatic winding movement with pawl-fitted micro-rotor. Micro-rotor winding system fixed between the main plate and the micro-rotor bridge. Silicon escapement with double direct impulse on the balance. Silent block shock protection system for the micro-rotor,Calibre FBN229.01, 72 hours,"21,600 vph (3Hz)",35,"Hours, minutes & small seconds at 6 o’clock ","The iconic Classic Micro-Rotor with a natural escapement offers a black opaline dial of purity and unparalleled elegance to enchant enthusiasts of the finest watchmaking. The LAURENT FERRIER signature is clearly apparent in the curve of the stainless steel or white gold case that picks up the pure aesthetic in-house codes in the now distinctive “pebble” shape case that harks back to the understated models of 19th century horological history. 
", 
LCF.004.AC.CG7,https://laurentferrier.ch/collections/classic/products/classic-micro-rotor-ice-blue, ,Laurent Ferrier, ,Classic,Classic Micro‑Rotor,Ice Blue, , ,CHF,"55,000",https://laurentferrier.ch/cdn/shop/products/Laurent-Ferrier_Classic-Micro-Rotor-Ice-Blue_Watch_LCF004.AC.CG7_Front-Soldat_800x.png?v=1667486770,Switzerland, , Stainless steel, , , 40 mm, , , 11.10 mm, , , , 30 m - 3 ATM, ,"Ice blue dial, sunburst finish ","Drop-shaped, 18k white gold 210Pd Hours markers: White transfer"," Light brown Barbialla calf, Alcantara lining"," Light brown Barbialla calf, Alcantara lining",Pin buckle or folding clasp in stainless steel,. Calibre FBN229.01. Automatic winding movement with pawl-fitted micro-rotor. Micro-rotor winding system fixed between the main plate and the micro-rotor bridge. Silicon escapement with double direct impulse on the balance. Silent block shock protection system for the micro-rotor,Calibre FBN229.01, 72 hours,"21,600 vph (3Hz)",35,"Hours, minutes, small seconds at 6 o’clock","The Classic Micro-Rotor features an ice blue dial with a sunburst satin brush-finish, white gold indexes, and a seconds sub-dial at 6 o'clock. This vivid color enhances the timepiece while giving it a more contemporary look. The movement is the self-winding FBN 229.01 calibre with unidirectional pawl-fitted micro-rotor and a three-day power reserve.
", 
LCF004.G1.CG2,https://laurentferrier.ch/collections/classic/products/classic-micro-rotor-blue, ,Laurent Ferrier, ,Classic,Classic Micro‑Rotor, Blue, , ,CHF,"65,000",https://laurentferrier.ch/cdn/shop/products/Laurent-Ferrier_Classic-Micro-Rotor-Blue_Watch_LCF004.AC.CG2_Front-Soldat_800x.png?v=1643357465,Switzerland, , 18k white gold 210Pd, , , 40 mm, , , 11.10 mm, , , , 30 m - 3 ATM, ,"Blue dial, vertical satin-brushed finish ","Drop-shaped, 18k white gold 210Pd"," Blue alligator leather, Alcantara lining"," Blue alligator leather, Alcantara lining",Pin buckle or folding clasp in 18k white gold 210Pd,. Calibre FBN229.01. Automatic winding movement with pawl-fitted micro-rotor. Micro-rotor winding system fixed between the main plate and the micro-rotor bridge. Silicon escapement with double direct impulse on the balance. Silent block shock protection system for the micro-rotor,Calibre FBN229.01, 72 hours,"21,600 vph (3Hz)",35,"Hours, minutes, small seconds at 6 o’clock","A subtle blend of past memories and contemporary techniques, this self-winding calibre with off-centred micro-rotor stems from an exclusive conception, developed and tested with the greatest care. It provides exceptional timekeeping qualities and demonstrates the value of an aesthetically appealing and mechanically accomplished mechanism. Collectors will appreciate its design serving to enhance the aesthetic of its main organs.
", 
LCF004.R5.GR1,https://laurentferrier.ch/collections/classic/products/classic-micro-rotor-silver, ,Laurent Ferrier, ,Classic,Classic Micro‑Rotor,Silver, , ,CHF,"65,000",https://laurentferrier.ch/cdn/shop/products/Laurent-Ferrier_Classic-Micro-Rotor-Silver-Satin-Brushed_Watch_LCF004.R5.GR1_Front-Soldat_800x.png?v=1643278851,Switzerland, , 18k red gold 5N, , , 40 mm, , , 11.10 mm, , , , 30 m - 3 ATM, ," Silver, vertical satin-brushed finish","Drop-shaped, 18k red gold 5N"," Brown alligator, Alcantara lining"," Brown alligator, Alcantara lining",Pin buckle or folding clasp in 18k red gold 5N ,. Calibre FBN229.01. Automatic winding movement with pawl-fitted micro-rotor. Micro-rotor winding system fixed between the main plate and the micro-rotor bridge. Silicon escapement with double direct impulse on the balance. Silent block shock protection system for the micro-rotor,Calibre FBN229.01, 72 hours,"21,600 vph (3Hz)",35,"Hours, minutes & small seconds at 6 o’clock","The curve of the solid red gold case reflects the pure, restrained LAURENT FERRIER style. It echoes the smooth pebble shape of the understated and sophisticated models of 19th century horological history, and particularly that of pocket watches. The Classic Micro-Rotor with its silver-toned dial adorned with a vertical satin-brushed finish is punctuated by a small seconds subdial at 6 o’clock.
", 
LCF004.AC.RG1,https://laurentferrier.ch/collections/classic/products/classic-micro-rotor-autumn, ,Laurent Ferrier, ,Classic,Classic Micro‑Rotor,Autumn, , ,CHF,"55,000",https://laurentferrier.ch/cdn/shop/products/Laurent-Ferrier_Classic-Micro-Rotor-Autumn_Watch_LCF004.AC.RG1_Front-Soldat_800x.png?v=1667488489,Switzerland, , Stainless steel , , , 40 mm, , , 11.10 mm, , , , 30 m - 3 ATM, ,"Autumn-toned dial, vertical satin-brushed finish ","Drop-shaped, 18k white gold 210Pd"," Brown alligator leather, Alcantara lining"," Brown alligator leather, Alcantara lining",Pin buckle or folding clasp in stainless steel ,. Calibre FBN229.01. Automatic winding movement with pawl-fitted micro-rotor. Micro-rotor winding system fixed between the main plate and the micro-rotor bridge. Silicon escapement with double direct impulse on the balance. Silent block shock protection system for the micro-rotor,Calibre FBN229.01, 72 hours,"21,600 vph (3Hz)",35,"Hours, minutes, small seconds at 6 o’clock","Laurent Ferrier treats its Classic Micro-Rotor with a natural escapement calibre with an autumn 5N red gold-toned colour, with copper glints thanks to the vertical satin-brushed finish. This dial also features the 11 typical drop-shaped white gold hour-markers. This distinctive look, which combines a vintage style by its colour and a contemporary appearance with a well-kept design, is complete by a chestnut coloured alligator strap.
", 
LCF001.02.G1.N01,https://laurentferrier.ch/collections/classic/products/classic-tourbillon-black-onyx, ,Laurent Ferrier, ,Classic,Classic Tourbillon,Black Onyx, , ,CHF,"180,000",https://laurentferrier.ch/cdn/shop/products/Laurent-Ferrier_Classic-Tourbillon-Black-Onyx_Watch_LCF001.02.AC.N01_Front-Soldat-Big_800x.png?v=1643295240,Switzerland, , 18k white gold 210Pd, , , 41 mm, , , 12.50 mm, , , , 30 m - 3 ATM, ,Black Onyx,," Black Alligator, Alcantara lining"," Black Alligator, Alcantara lining",Pin buckle or folding clasp in 18k white gold 210Pd," . Calibre LF619.01. Tourbillon, opposite double balance spring. Double balance springs “Geneva”. “Swiss” pallet escapement. Balance at variable geometry, with screw. Tourbillon frame carrier in periphery",Calibre LF619.01, 80 hours ,"21,600 vph (3Hz)",23,"Hours, minutes, small seconds at 6 o’clock","This Classic Tourbillon onyx dial is lit up by 11 white painted Roman numerals, while the “assegai-shaped” hour and minute hands and baton-type seconds hands are also coated in white. A hollowed seconds counter appears at 6 o’clock, and the matching dial creates an aesthetically harmonious overall effect.
The manual finishing of this calibre is truly exceptional, as confirmed by the many interior angles and the various smooth round-polished operations. The bridge of the tourbillon carriage is decorated in the finest watchmaking traditions, and the exquisite finesse of this craftsmanship is revealed only through the sapphire case back, thereby confirming Laurent Ferrier’s preference for subtlety and discretion.
", 
LCF001.02.J1.E09,https://laurentferrier.ch/collections/classic/products/classic-tourbillon-ivory-enamel-grand-feu, ,Laurent Ferrier, ,Classic,Classic Tourbillon,Ivory Enamel Grand Feu, , ,CHF,"180,000",https://laurentferrier.ch/cdn/shop/products/Laurent-Ferrier_Classic-Tourbillon-Ivory-Enamel-Grand-Feu_Watch_LCF001.02.J1.E09_Front-Soldat-Big_800x.png?v=1642756084,Switzerland, , 18k yellow gold 2N , , , 41 mm, , , 12.50 mm, , , , 30 m - 3 ATM, ,"Ivory-coloured ""Grand Feu"" Enamel, 18k white gold 210Pd underplate",," Brown alligator, Alcantara lining"," Brown alligator, Alcantara lining",Pin buckle or folding clasp in 18k yellow gold 2N," . Calibre LF619.01. Tourbillon, opposite double balance spring. Double balance springs “Geneva”. “Swiss” pallet escapement. Balance at variable geometry, with screw. Tourbillon frame carrier in periphery",Calibre LF619.01, 80 hours ,"21,600 vph (3Hz)",23,"Hours, minutes, small seconds at 6 o’clock","This Classic Tourbillon is adorned with an ivory‑coloured ""Grand Feu"" enamel dial. Each detail has been the object of meticulous care. Its case and dial are elegantly pared-down in an aesthetic tribute to 19th-century pocket watches. In endowing the Classic Tourbillon with such attributes, LAURENT FERRIER once again demonstrates its unconditional respect for classical fine watchmaking.
", 
LCF001.R5.D2GR,https://laurentferrier.ch/collections/classic/products/classic-tourbillon-clous-de-paris, ,Laurent Ferrier, ,Classic,Classic Tourbillon,Clous de Paris, , ,CHF,"180,000",https://laurentferrier.ch/cdn/shop/products/Laurent-Ferrier_Classic-Tourbillon-Clous-De-Paris_Watch_LCF001.R5.D2GR_Front-Soldat-Big_800x.png?v=1643291774,Switzerland, , 18K red gold 5N, , , 41 mm, , , 12.50 mm, , , , 30 m - 3 ATM, ,"Palladium with ""Clous de Paris""","Drop-shaped, 18k red gold 5N"," Brown Alligator, Alcantara lining"," Brown Alligator, Alcantara lining",Pin buckle or folding clasp in 18k red gold 5N," . Calibre LF619.01. Tourbillon, opposite double balance spring. Double balance springs “Geneva”. “Swiss” pallet escapement. Balance at variable geometry, with screw. Tourbillon frame carrier in periphery",Calibre LF619.01, 80 hours ,"21,600 vph (3Hz)",23,"Hours, minutes, small seconds at 6 o’clock","The Classic Tourbillon has decisively proven its worth since being presented in 2009, earning enviable distinctions such as in the 2010 Geneva Watchmaking Grand Prix. Inspired by expertise now over 200 years old, this timepiece incorporates an avant-garde technique that ensures exceptional precision. It is equipped with a tourbillon device conceived by Abraham-Louis Breguet in 1801, complemented by two head-to-tail mounted balance-springs in the centre of the balance. 
It features a subtly decorated dial in silvery palladium. The centre is delicately hand-guilloché with a “Clous de Paris” hobnail motif, framed on the outer rim by a circular satin-brushed décor.
", 
LCF036.T1.CG,https://laurentferrier.ch/collections/classic/products/classic-origin-blue, ,Laurent Ferrier, ,Classic,Classic Origin,Blue, , ,CHF,"33,000",https://laurentferrier.ch/cdn/shop/files/Laurent-Ferrier_Classic-Origin-Blue_Watch_LCF036.T.CG_Front-Soldat_FixedTEMP_800x.png?v=1686640182,Switzerland, , Grade 5 titanium , , , 40 mm, , , 11.10 mm , , , , 30 m - 3 ATM, ,Gradient blue opaline dial,"Four drop-shaped, 18k white gold 210Pd Hour markers: Powder grey painted minute track and light blue numerals"," Dark blue Nubuck leather, Alcantara lining"," Dark blue Nubuck leather, Alcantara lining",Pin buckle in grade 5 titanium,. Caliber LF116.01. Manual winding . Swiss lever escapement. Balance screw,Caliber LF116.01, 80 hours ,"21,600 vph (3Hz) ",21,"Hours, minutes, small seconds at 6 o’clock","Twelve years after its launch, LAURENT FERRIER is maintaining its momentum with an intense blue version of one of its latest emblematic models, the Classic Origin. Initially developed to pay tribute to all the aesthetic codes created by Mr Laurent Ferrier himself in 2010, the Classic Origin has succeeded in becoming an icon of the LF collection.
", 
